carat,depth,table,price
0.23,61.5,55.0,326
0.21,59.8,61.0,326
0.23,56.9,65.0,327
0.29,62.4,58.0,334
0.31,63.3,58.0,335
0.24,62.8,57.0,336
0.24,62.3,57.0,336
0.26,61.9,55.0,337
0.22,65.1,61.0,337
0.23,59.4,61.0,338
0.30,64.0,55.0,339
0.23,60.5,57.0,340
0.22,60.2,62.0,340
0.31,63.1,57.0,341
0.31,63.8,57.0,342
0.33,61.8,56.0,343
0.36,60.8,57.0,344
0.30,60.9,58.0,345
0.35,62.6,56.0,345
0.40,60.5,56.0,348
0.41,61.7,56.0,349
0.43,61.0,57.0,353
0.42,62.4,57.0,353
0.32,61.1,56.0,353
0.33,60.8,58.0,354
0.46,62.0,56.0,358
0.46,61.5,55.0,359
0.41,62.0,57.0,359
0.50,62.7,57.0,360
0.52,61.8,58.0,361
0.50,61.4,57.0,362
0.50,62.0,56.0,366
0.55,62.5,57.0,367
0.50,62.2,57.0,367
0.55,61.1,56.0,368
0.70,62.8,57.0,372
0.70,62.4,55.0,374
0.71,62.6,56.0,375
0.65,61.8,55.0,376
0.65,62.0,56.0,377
0.72,62.9,56.0,378
0.70,62.8,57.0,378
0.75,62.0,57.0,380
0.75,62.5,57.0,380
0.80,61.9,56.0,384
0.80,62.3,56.0,385
0.80,62.2,57.0,385
0.85,62.2,57.0,387
0.90,61.8,56.0,389
0.90,62.0,57.0,389
0.95,62.5,56.0,394
0.95,62.5,57.0,394
1.00,61.6,57.0,398
1.01,62.0,57.0,402
1.01,62.7,58.0,402
1.02,62.0,57.0,403
1.05,62.0,57.0,408
1.05,62.8,57.0,409
1.08,61.8,56.0,411
1.10,61.5,56.0,414
1.10,62.0,58.0,415
1.12,62.4,57.0,418
1.13,61.9,56.0,419
1.15,62.2,57.0,422
1.20,62.0,57.0,430
1.20,62.6,55.0,432
1.20,62.1,57.0,434
1.25,61.9,55.0,438
1.25,62.0,57.0,440
1.30,62.5,57.0,446
1.30,62.4,57.0,446
1.31,62.2,56.0,448
1.35,62.0,57.0,452
1.40,62.7,55.0,460
1.41,61.9,56.0,462
1.45,62.5,57.0,468
1.50,62.0,57.0,478
1.51,62.2,58.0,480
1.55,62.5,57.0,486
1.60,62.0,56.0,495
1.65,62.8,57.0,510
1.70,62.5,58.0,520
1.75,62.0,57.0,535
1.80,62.6,57.0,552
1.85,62.4,57.0,570
1.90,62.0,58.0,590
1.95,62.5,57.0,610
2.00,62.0,58.0,630
